"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",1060,36198665641.1236,NA,NA,NA,NA
"2",1059,23046614135.329,1,13152051505.7946,604.341377993817,6.04350527289901e-106
